location,latitude,longitude,filename,desc
Sands Beach,34.41281,-119.88389,surf.png,Surf
Sands Beach,34.41281,-119.88389,avery_double.png,On the Sea (1)
Sands Beach,34.41281,-119.88389,elise_double.png,On the Sea (2)
Sands Beach,34.41281,-119.88389,capri.jpg,Two Gauge
Sands Beach,34.41281,-119.88389,ryder.png,Reflection
Golden Gate Bridge,37.808621,-122.47086,sf.png,Postcard
Catalina Island Tide Pools,33.466326,-118.528029,brittle_star.png,Brittle Star
Amethyst Beach,33.473683,-118.548101,ocean.png,Waves
Berkely,37.86811,-122.27286,liz.png,Curiosity
Lizards Mouth ,34.502195,-119.867887,hannah_corinna.jpg,Peace
Lizards Mouth ,34.502195,-119.867887,sunrise.jpg,Sunrise
Water Tower,34.501432,-119.857983,me-and-avery.jpeg,Anyone Else But You
Water Tower,34.501432,-119.857983,guitar.jpeg,Change
Cold Springs,34.458902,-119.654265,cold_spring.jpeg,Floating
New York City,40.758558,-73.986899,nyc.png,45th Street
Isla Vista,34.413701,-119.858271,pornhouse.jpeg,Girlhood
